============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Podk³adka+Tarcza(  23 um) ================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1 19 .1518989E+11   2300018E-01 -.3641E+01 -.5379E+00   .9999999  .0001211  .0001225
T    2 19 .1519074E+11   2300019E-01 -.7340E+02 -.6678E+02   .9999994 -.0007011 -.0007819
T    3 19 .1518952E+11   2300013E-01  .1136E+02 -.2370E+01   .9999999  .0000621  .0000307
T    4 19 .1519015E+11   2300019E-01 -.5430E+01  .1465E+02   .9999999 -.0002178  .0001425
T    5 19 .1519015E+11   2300019E-01  .1264E+02 -.9987E+01   .9999999  .0000341 -.0000994
T    6 19 .1518985E+11   2300021E-01  .1944E+02  .3291E+02   .9999999  .0002291  .0004241
T    7 19 .1519057E+11   2300019E-01 -.3024E+00 -.4035E+01   .9999999 -.0001140  .0000146
T    8 19 .1518908E+11   2300014E-01  .9338E+00  .8634E+01   .9999999 -.0000177 -.0001025
T    9 19 .1519101E+11   2300014E-01 -.2197E+02  .1914E+01   .9999999 -.0000897  .0000090
T   10 19 .1519021E+11   2300022E-01  .1725E+02 -.4359E+01   .9999999  .0002084 -.0000976
T   11 19 .1519168E+11   2300007E-01  .1567E+02  .1708E+02   .9999999  .0000542  .0000688
T   12 19 .1519030E+11   2300005E-01  .1767E+01  .3261E+01   .9999999 -.0000348  .0000771
T   13 19 .1519146E+11   2300021E-01 -.1605E+01 -.1409E+01   .9999999  .0000571 -.0000202
T   14 19 .1518933E+11   2300009E-01 -.1514E+02 -.7416E+00   .9999999 -.0003366 -.0000887
T   15 19 .1519090E+11   2300018E-01 -.4831E+01  .1233E+01   .9999999 -.0001132  .0000493
T   16 19 .1519128E+11   2300018E-01 -.2622E+02  .8177E+01   .9999999 -.0003756  .0002201
T   17 19 .1519122E+11   2300009E-01 -.2558E+01  .1104E+02   .9999999 -.0002344  .0002584
T   18 19 .1518858E+11   2300007E-01 -.1084E+01 -.3974E+01   .9999999 -.0000371  .0001118
T   19 19 .1518981E+11   2300001E-01 -.5400E+00 -.5733E+01   .9999999  .0000458  .0000190
T   20 19 .1519110E+11   2300018E-01 -.2668E+02 -.8240E+01   .9999999 -.0004155 -.0000865
T   21 19 .1518920E+11   2300023E-01  .1169E+02 -.2471E+01   .9999999  .0001883  .0001344
T   22 19 .1519006E+11   2300013E-01  .6485E+01 -.6951E+01   .9999999  .0001351 -.0002239
T   23 19 .1519107E+11   2300017E-01 -.1992E+02  .5538E+01   .9999999 -.0001608  .0001142
T   24 19 .1518899E+11   2300012E-01 -.2743E+02 -.3299E+01   .9999999 -.0001774 -.0000276
T   25 19 .1518974E+11   2300007E-01 -.2469E+02  .2348E+01   .9999999 -.0003515  .0000961
T   26 19 .1518967E+11   2300011E-01  .9283E+01  .1905E+02   .9999999 -.0000512  .0000731
T   27 19 .1519079E+11   2300001E-01 -.1339E+01  .8577E+01   .9999999  .0000550  .0001440
T   28 19 .1519061E+11   2300000E-01 -.2343E+01 -.7155E-01   .9999999  .0000940  .0000247
T   29 19 .1518940E+11   2300017E-01  .1112E+02  .2709E+01   .9999999  .0001986  .0000744
T   30 19 .1519031E+11   2300013E-01 -.1141E+01  .5857E+01   .9999999  .0000817  .0001167
T   31 19 .1519042E+11   2300004E-01 -.9690E+01  .7170E+01   .9999999 -.0000987 -.0000617
T   32 19 .1519139E+11   2300010E-01 -.1176E+02  .9093E+01   .9999999 -.0000405  .0001350
T   33 19 .1518992E+11   2300014E-01 -.4693E+01 -.8372E+01   .9999999 -.0000965 -.0000657
T   34 19 .1518957E+11   2300020E-01  .1690E+02  .1708E+02   .9999999 -.0002320  .0004003
T   35 19 .1518946E+11   2300022E-01 -.4874E+01  .2231E+02   .9999999 -.0001604  .0002545
T   36 19 .1518940E+11   2300023E-01 -.2090E+02 -.6315E+01   .9999999 -.0004462 -.0001972
T   37 19 .1518905E+11   2300020E-01 -.7689E+01  .2949E+00   .9999999 -.0001574  .0001034
T   38 19 .1519074E+11   2300014E-01  .1090E+02 -.1266E+02   .9999999 -.0000549 -.0000820
T   39 19 .1519027E+11   2300003E-01  .2494E+01  .3383E+01   .9999999  .0000058  .0000274
T   40 19 .1518973E+11   2300017E-01  .6944E+00  .1890E+01   .9999999 -.0001007  .0005230
T   41 19 .1519070E+11   2300000E-01  .8285E+01 -.2700E+02   .9999999  .0002127 -.0003307
T   42 19 .1519121E+11   2300021E-01  .1059E+02  .3121E+01   .9999999  .0002270  .0001775
T   43 19 .1518920E+11   2300019E-01 -.1222E+02 -.4478E+01   .9999999 -.0001822 -.0000227
T   44 19 .1519065E+11   2300005E-01 -.6725E+01  .2468E+01   .9999999 -.0000281  .0001173
T   45 19 .1519026E+11   2300007E-01 -.3271E+02 -.4119E+01   .9999999 -.0003046  .0000306
T   46 19 .1519038E+11   2300012E-01  .1240E+02 -.3061E+02   .9999999 -.0000891 -.0003377
T   47 19 .1518843E+11   2300012E-01 -.9144E+01  .5417E+00   .9999999 -.0001148  .0000311
T   48 19 .1518956E+11   2300020E-01  .2683E+01  .7249E+01   .9999999  .0001399  .0000208
T   49 19 .1519192E+11   2300003E-01 -.7199E+00  .1161E+02   .9999999 -.0000905  .0002373
T   50 19 .1518924E+11   2300010E-01  .3214E+02  .2074E+02   .9999999  .0003639  .0001430
T   51 19 .1518925E+11   2300020E-01  .4165E+02  .4675E+01   .9999997  .0007617  .0001827
T   52 19 .1518919E+11   2300019E-01  .6288E+01 -.1178E+02   .9999999  .0000595 -.0000708
T   53 19 .1519036E+11   2300019E-01 -.1055E+01  .3722E+01   .9999999  .0000690 -.0000790
T   54 19 .1519042E+11   2300002E-01 -.3479E+01  .1437E+02   .9999999 -.0000498  .0002298
T   55 19 .1518973E+11   2300021E-01 -.5187E+01 -.2075E+02   .9999999 -.0001089 -.0004102
T   56 19 .1518980E+11   2300013E-01 -.4544E+01  .1034E+02   .9999999  .0000466  .0001263
T   57 19 .1518874E+11   2300017E-01  .3601E+01  .1086E+02   .9999999  .0001023  .0001057
T   58 19 .1519062E+11   2300022E-01  .1536E+02 -.8667E+01   .9999999  .0001558 -.0001019
T   59 19 .1518999E+11   2300015E-01  .2797E+02  .1010E+03   .9999989  .0006582  .0013174
T   60 19 .1518926E+11   2300006E-01 -.7277E+01  .7635E+01   .9999999 -.0000956  .0000891
T   61 19 .1519112E+11   2300012E-01 -.3614E+01 -.3171E+02   .9999999 -.0000669 -.0003978
T   62 19 .1519175E+11   2300007E-01  .4141E+01  .6174E+01   .9999999  .0000441  .0001365
T   63 19 .1519082E+11   2300008E-01  .6775E+01 -.2667E+01   .9999999  .0000475 -.0000329
T   64 19 .1519160E+11   2300014E-01 -.1360E+02 -.3970E+01   .9999999 -.0002170 -.0000165
T   65 19 .1519078E+11   2300010E-01  .2107E+00  .2168E+02   .9999999 -.0000340  .0002546
T   66 19 .1518995E+11   2300019E-01 -.3119E+02 -.1875E+02   .9999999 -.0003588 -.0000714
T   67 19 .1519047E+11   2300010E-01 -.2313E+01 -.4889E+01   .9999999  .0000113 -.0000370
T   68 19 .1519131E+11   2300006E-01 -.1729E+02  .8437E+01   .9999999 -.0001474  .0001963
T   69 19 .1518946E+11   2300017E-01 -.3035E+01  .1664E+02   .9999999 -.0001065  .0002572
T   70 19 .1519097E+11   2300020E-01 -.1401E+02 -.2638E+01   .9999999 -.0001529 -.0000426
T   71 19 .1519076E+11   2300019E-01 -.9564E+01  .1181E+02   .9999999 -.0001708  .0001459
T   72 19 .1518905E+11   2300001E-01  .4920E+01  .1942E+02   .9999999  .0000333  .0001758
T   73 19 .1518988E+11   2300015E-01  .1522E+01  .1349E+02   .9999999  .0000620  .0000917
T   74 19 .1519070E+11   2300012E-01  .1067E+02 -.1421E+01   .9999999  .0001354 -.0000404
T   75 19 .1518977E+11   2300000E-01 -.1692E+02 -.4152E+02   .9999998 -.0003565 -.0005044
T   76 19 .1519008E+11   2300022E-01  .2578E+01 -.1370E+02   .9999999  .0000228 -.0000645
T   77 19 .1519085E+11   2300010E-01  .5432E+01  .3373E+01   .9999999  .0000594 -.0000150
T   78 19 .1518993E+11   2300001E-01  .1171E+01  .9348E+01   .9999999  .0001897  .0001337
T   79 19 .1519085E+11   2300012E-01 -.2181E+01  .1710E+02   .9999999 -.0000674  .0000534
T   80 19 .1518973E+11   2300023E-01  .1197E+02  .5471E+01   .9999999  .0000537  .0000009
T   81 19 .1519012E+11   2300004E-01 -.1431E+02  .1591E+02   .9999999 -.0001194  .0000568
T   82 19 .1519087E+11   2300011E-01  .2611E+02  .1017E+02   .9999999  .0001581  .0000511
