============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Tarcza(  11 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1 19 .1519304E+11   1100001E-01 -.6365E+01 -.3985E+01   .9999999 -.0001153 -.0000859
T    2 19 .1519175E+11   1100009E-01  .8105E+01 -.1391E+02   .9999999  .0001671 -.0003253
T    3 19 .1519355E+11   1100005E-01  .6097E+01 -.1134E+02   .9999999  .0001410 -.0001502
T    4 19 .1519163E+11   1100022E-01 -.2062E+02  .3516E+01   .9999999 -.0002142  .0000305
T    5 19 .1519150E+11   1100005E-01 -.5863E+01  .2033E+02   .9999999 -.0000418  .0001214
T    6 19 .1519170E+11   1100000E-01  .2390E+01  .9207E+01   .9999999  .0001039  .0003098
T    7 19 .1519316E+11   1100021E-01  .1543E+02 -.1644E+02   .9999999  .0001863 -.0002793
T    8 19 .1519227E+11   1100018E-01 -.2643E+01 -.5028E+01   .9999999 -.0000283 -.0000080
T    9 19 .1519195E+11   1100014E-01  .3886E+01  .1469E+01   .9999999  .0000375 -.0000277
T   10 19 .1519253E+11   1100005E-01 -.1202E+02  .2037E+02   .9999999 -.0001577  .0003215
T   11 19 .1519299E+11   1100014E-01 -.2099E+01  .5547E+01   .9999999 -.0000255  .0001009
T   12 19 .1519313E+11   1100010E-01 -.4388E+01 -.2180E+01   .9999999 -.0001334 -.0000619
T   13 19 .1519278E+11   1100007E-01  .2639E+01 -.6194E+01   .9999999  .0000911 -.0001329
T   14 19 .1519165E+11   1100015E-01  .6495E+01  .1658E+02   .9999999  .0002355  .0003769
T   15 19 .1519256E+11   1100002E-01  .6064E+01 -.1234E+02   .9999999  .0001025 -.0001737
T   16 19 .1519281E+11   1100021E-01 -.5019E+01 -.1030E+02   .9999999 -.0000251 -.0000905
T   17 19 .1519177E+11   1100016E-01  .6386E+00  .7259E+00   .9999999  .0000249 -.0000518
T   18 19 .1519246E+11   1100008E-01 -.3146E+01  .2598E+01   .9999999 -.0000881  .0000714
T   19 19 .1519143E+11   1100011E-01  .2928E+01  .4668E+01   .9999999  .0000005 -.0000179
T   20 19 .1519141E+11   1100006E-01 -.2133E+01  .3997E+01   .9999999 -.0000570  .0000422
T   21 19 .1519409E+11   1100020E-01 -.1095E+03  .5110E+01   .9999993 -.0012117  .0000405
T   22 19 .1519324E+11   1100002E-01  .5769E+00  .5952E+01   .9999999 -.0000022  .0000164
T   23 19 .1519259E+11   1100011E-01 -.3897E+02 -.1496E+02   .9999999 -.0003176 -.0001848
T   24 19 .1519191E+11   1100019E-01 -.2764E+01  .7041E+01   .9999999  .0000361  .0001935
T   25 19 .1519253E+11   1100001E-01 -.5312E+01  .1101E+02   .9999999 -.0000514  .0002189
T   26 19 .1519307E+11   1100020E-01  .8220E+01  .2928E+00   .9999999  .0001210 -.0000462
T   27 19 .1519406E+11   1100016E-01  .6792E-01 -.7487E+01   .9999999 -.0000320 -.0000914
T   28 19 .1519401E+11   1100021E-01 -.6288E+01  .1023E+02   .9999999 -.0000853  .0000754
T   29 19 .1519212E+11   1100001E-01  .3163E+01 -.4072E+01   .9999999  .0000578 -.0000208
T   30 19 .1519273E+11   1100022E-01  .4539E+01 -.8141E+01   .9999999  .0000523 -.0001111
T   31 19 .1519258E+11   1100015E-01 -.6120E+01 -.3492E+00   .9999999 -.0000207  .0000136
T   32 19 .1519332E+11   1100011E-01  .2202E+02  .3184E+01   .9999999  .0004471  .0000066
T   33 19 .1519436E+11   1100020E-01 -.2887E+01  .2487E+01   .9999999 -.0001222  .0000129
T   34 19 .1519191E+11   1100011E-01 -.1126E+02 -.5047E+01   .9999999 -.0001385 -.0000669
T   35 19 .1519260E+11   1100014E-01  .1835E+01  .3445E+01   .9999999  .0001232  .0001305
T   36 19 .1519209E+11   1100005E-01  .8016E+01 -.6387E+01   .9999999  .0000861 -.0000070
T   37 19 .1519263E+11   1100002E-01 -.2617E+02  .3455E+02   .9999998 -.0002926  .0004894
T   38 19 .1519328E+11   1100017E-01 -.2751E+01 -.6512E+01   .9999999 -.0000354 -.0001302
T   39 19 .1519155E+11   1100009E-01  .2664E+01  .1271E+02   .9999999  .0000915  .0002159
T   40 19 .1519237E+11   1100000E-01  .6247E+01 -.1567E+02   .9999999  .0000556 -.0002063
T   41 19 .1519278E+11   1100007E-01  .2737E+02  .2771E+02   .9999999  .0002640  .0002435
T   42 19 .1519162E+11   1100019E-01  .1334E+02  .7778E+01   .9999999  .0000493 -.0000212
T   43 19 .1519384E+11   1100020E-01 -.1618E+02 -.7506E+00   .9999999 -.0001851 -.0001013
T   44 19 .1519091E+11   1100023E-01 -.4312E+00  .3068E+01   .9999999 -.0000161  .0000843
T   45 19 .1519314E+11   1100016E-01  .3789E+01  .2169E+00   .9999999  .0000787 -.0000279
T   46 19 .1519404E+11   1100003E-01  .5979E+01 -.7704E+01   .9999999  .0000945 -.0001926
T   47 19 .1519271E+11   1100018E-01  .1703E+01 -.9506E+01   .9999999 -.0000192 -.0001787
T   48 19 .1519212E+11   1100021E-01  .3767E+01  .1100E+02   .9999999 -.0000363  .0002580
T   49 19 .1519216E+11   1100011E-01 -.9613E+01  .3259E+01   .9999999 -.0000802  .0001631
T   50 19 .1519205E+11   1100016E-01 -.1067E+02  .9476E+00   .9999999 -.0001634 -.0000627
T   51 19 .1519330E+11   1100001E-01 -.3486E+02  .2182E+02   .9999999 -.0003672  .0001882
T   52 19 .1519247E+11   1100006E-01  .7545E+01  .3798E+01   .9999999  .0002124  .0001020
T   53 19 .1519150E+11   1100006E-01  .2038E+02 -.1311E+00   .9999999  .0003270  .0000573
T   54 19 .1519217E+11   1100002E-01 -.1279E+02 -.2767E+01   .9999999 -.0001580  .0000180
T   55 19 .1519259E+11   1100006E-01  .1131E+02 -.1354E+02   .9999999  .0002258  .0000136
T   56 19 .1519318E+11   1100005E-01  .1854E+02  .7418E+00   .9999999  .0002027 -.0000420
T   57 19 .1519219E+11   1100005E-01 -.3083E+00  .9024E+01   .9999999  .0000498  .0001245
T   58 19 .1519116E+11   1100010E-01 -.3475E+02 -.4793E+01   .9999999 -.0002755 -.0000210
T   59 19 .1519235E+11   1100022E-01 -.2161E+01  .6677E+01   .9999999 -.0000362  .0001781
T   60 19 .1519318E+11   1100016E-01 -.4289E+01  .7763E+01   .9999999 -.0000320  .0000649
T   61 19 .1519299E+11   1100007E-01 -.3732E+01  .8327E+00   .9999999 -.0000145  .0000330
T   62 19 .1519334E+11   1100021E-01  .7526E+00  .6646E+01   .9999999 -.0000973  .0000709
T   63 19 .1519259E+11   1100004E-01  .9989E+00  .6246E+00   .9999999 -.0000569  .0000390
T   64 19 .1519265E+11   1100012E-01  .6709E+02  .1793E+02   .9999994  .0010465  .0002420
T   65 19 .1519233E+11   1100004E-01 -.7496E+01  .1280E+02   .9999999 -.0001093  .0001383
T   66 19 .1519336E+11   1100014E-01 -.6133E+01  .1640E+02   .9999999 -.0001955  .0002953
T   67 19 .1519289E+11   1100023E-01 -.1282E+01 -.1588E+01   .9999999 -.0001690  .0000376
T   68 19 .1519233E+11   1100001E-01 -.9380E+01  .8734E+01   .9999999 -.0002871  .0000933
T   69 19 .1519279E+11   1100012E-01 -.5461E+01  .7649E+00   .9999999 -.0000756  .0000000
T   70 19 .1519239E+11   1100016E-01 -.3272E+01  .4009E+01   .9999999 -.0002711  .0002419
T   71 19 .1519316E+11   1100007E-01 -.1165E+02 -.2735E+01   .9999999 -.0001511 -.0000126
T   72 19 .1519324E+11   1100013E-01  .1232E+02  .2054E+01   .9999999  .0003087 -.0000158
T   73 19 .1519238E+11   1100001E-01  .7418E+01  .5083E+01   .9999999  .0000914  .0001261
T   74 19 .1519327E+11   1100018E-01 -.7192E+01 -.6105E+01   .9999999  .0000282 -.0001276
T   75 19 .1519306E+11   1100014E-01  .1268E+02  .5470E+01   .9999999  .0002264  .0001026
T   76 19 .1519136E+11   1100015E-01 -.1067E+02  .1044E+02   .9999999 -.0001551  .0002124
T   77 19 .1519175E+11   1100005E-01 -.8678E+01 -.6873E+01   .9999999 -.0001417 -.0001236
T   78 19 .1519244E+11   1100007E-01 -.2427E+01 -.6523E+01   .9999999 -.0000528 -.0000138
T   79 19 .1519191E+11   1100018E-01  .5793E+01  .3848E+01   .9999999  .0001981 -.0000427
T   80 19 .1519359E+11   1100009E-01  .2154E+01  .1573E+02   .9999999  .0000460  .0002058
T   81 19 .1519213E+11   1100022E-01  .1730E+02 -.2595E+02   .9999999  .0002743 -.0004619
T   82 19 .1519222E+11   1100015E-01  .1977E+02  .9494E+00   .9999999  .0002060  .0000989
